,post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,images
0,3613106348734898,"Տ ɑ ժ . н υ м a ռ .
2 hrs ·

Red Ants & Black Ants",,"Տ ɑ ժ . н υ м a ռ .
2 hrs ·

Red Ants & Black Ants",2020-12-26 13:40:38.000000,,https://video-lga3-2.xx.fbcdn.net/v/t42.1790-2/10000000_1116779998761410_2283959103342550981_n.mp4?_nc_cat=101&ccb=2&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=KSFZpmXvpR8AX_UALKx&_nc_oc=AQlc7k6oPZwCp3uSyCAr6BJMLTlr1Lp8Dada2fprq6JlgM9Zuing1C4LfiJtQJeAl-c&_nc_ht=video-lga3-2.xx&oh=262c6a2a836bef50550b31ff21077327&oe=5FE7AE4A,https://scontent-lga3-2.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/131857086_301846431270530_7476637125079952738_n.jpg?_nc_cat=111&ccb=2&_nc_sid=ccf8b3&_nc_ohc=8d9dVmvnEIYAX_4aHHX&_nc_ht=scontent-lga3-2.xx&oh=3e1d14c1302c41f63d450bb7c0b41b4e&oe=600B6C77,301844861270687,0,0,0,https://facebook.com/story.php?story_fbid=420906262687558&id=105954580849396,,100012290195536,[]
1,3613102432068623,"No Amenity fee! An Amazing Location!
Receive a free $500.00 gift card when you sign a lease within 48 hours of your tour!

Expansive newly renovated two-bedroom apartment.

Be the first to enjoy this newly renovated and expansive two-bedroom, two-bathroom apartment framed within a sunny layout. This apartment has a great flow! Enter through a generous vestibule to a well-appointed gourmet kitchen, high-end stainless steel appliances, and sleek white counter-tops. Easily accessible from the main living area are the large bedrooms as well as ample closets throughout. With large windows, the apartment has unencumbered light and serene city views.

This building is currently undergoing a complete…","No Amenity fee! An Amazing Location!
Receive a free $500.00 gift card when you sign a lease within 48 hours of your tour!

Expansive newly renovated two-bedroom apartment.

Be the first to enjoy this newly renovated and expansive two-bedroom, two-bathroom apartment framed within a sunny layout. This apartment has a great flow! Enter through a generous vestibule to a well-appointed gourmet kitchen, high-end stainless steel appliances, and sleek white counter-tops. Easily accessible from the main living area are the large bedrooms as well as ample closets throughout. With large windows, the apartment has unencumbered light and serene city views.

This building is currently undergoing a complete…",,2020-12-26 13:38:17.000000,,,,,0,0,0,,,100003945783149,[]
2,3613101675402032,"Spacious 2B2B with private 1,000sf of outdoor space in Sunnyside/Woodside. NO FEE. Laundry in building. Parking onsite available.

https://listing3d.com/49-07-43rd-avenue-woodside-queens-new-york-ny/lYQAAJaUAAAtG","Spacious 2B2B with private 1,000sf of outdoor space in Sunnyside/Woodside. NO FEE. Laundry in building. Parking onsite available.

https://listing3d.com/49-07-43rd-avenue-woodside-queens-new-york-ny/lYQAAJaUAAAtG",,2020-12-26 13:37:53.000000,,,,,0,0,3,,https://listing3d.com/49-07-43rd-avenue-woodside-queens-new-york-ny/lYQAAJaUAAAtG,1360470031,[]
3,3613098595402340,"Maher asif
2 hrs ·

Like a your Boss | big and you boss here | watch and bareez the fun
#like #boss #boss #yourboss",,"Maher asif
2 hrs ·

Like a your Boss | big and you boss here | watch and bareez the fun
#like #boss #boss #yourboss",2020-12-26 13:35:59.000000,,https://video-lga3-2.xx.fbcdn.net/v/t42.1790-2/10000000_934442256959894_7336329051247642743_n.mp4?_nc_cat=107&ccb=2&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=vXgbac47JLMAX-9VqmD&_nc_ht=video-lga3-2.xx&oh=401635f2d6042453d394f993e391d099&oe=5FE7A0B2,https://scontent-lga3-2.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/s320x320/131962623_394480151641782_6889691787901252737_n.jpg?_nc_cat=107&ccb=2&_nc_sid=ccf8b3&_nc_ohc=ooKDdnSgdlkAX-hZHvB&_nc_ht=scontent-lga3-2.xx&oh=db9a6fbc33c7334907be91df4d6710ca&oe=600D80AD,394468161642981,0,0,0,https://facebook.com/story.php?story_fbid=183802890126327&id=100206108486006,,100041517245758,[]
4,3613098338735699,"𝙡𝙖𝙙𝘽𝙀𝘽𝙔 𝘾𝙃𝙍𝙄𝙎𝙏𝙈𝘼𝙎 is live now.
30 mins ·

I'm ʟᴀᴅʙᴇʙʏ, I want to hand out $ 1500,000 for the Christmas season, to the first 300 people who say '""Merry Xmas""',
I'll send $ 5,000. This is real and good luck! 🎁 ♥ 🎄",,"𝙡𝙖𝙙𝘽𝙀𝘽𝙔 𝘾𝙃𝙍𝙄𝙎𝙏𝙈𝘼𝙎 is live now.
30 mins ·

I'm ʟᴀᴅʙᴇʙʏ, I want to hand out $ 1500,000 for the Christmas season, to the first 300 people who say '""Merry Xmas""',
I'll send $ 5,000. This is real and good luck! 🎁 ♥ 🎄",2020-12-26 13:35:51.000000,,https://video-lga3-2.xx.fbcdn.net/hvideo-cln-odn/_nc_ohc-2q9qsXiqkR4AX-i0XSt/_nc_cat-110/v/r3dFhz_YAzDmS0gBSL1Cz/live-dash/dash-abr5/101693321865558.mpd?_nc_rl=AfDlhGP6uFTs-dC3YXk&ms=m_CNP&oh=c0469b11f7f45149b0b1c9c48129ac22&oe=5FE8FA24,https://scontent-lga3-2.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p173x172/121869626_1805126292994129_2831430121671808809_n.jpg?_nc_cat=107&ccb=2&_nc_sid=ccf8b3&_nc_ohc=fm9EoKWJRB0AX9YHQRJ&_nc_ht=scontent-lga3-2.xx&oh=da29c97142179b32809a1fe2d75d8445&oe=600BE4AE,1805122332994525,0,0,0,https://facebook.com/story.php?story_fbid=1805122332994525&id=106493948036154,,100059570155985,[]
5,3613097282069138,"𝑻.𝑰. 𝑳𝑰𝑽𝑬 𝑪𝑨𝑺𝑯 is live now.
14 mins ·

♥ ️🎄 Live: it's already started, For the Christmas season, I will donate more than $ 5,000 for the first 400 people who guess correctly the ′ ′ NUMBERS ′ ′ in this picture is real and good luck",,"𝑻.𝑰. 𝑳𝑰𝑽𝑬 𝑪𝑨𝑺𝑯 is live now.
14 mins ·

♥ ️🎄 Live: it's already started, For the Christmas season, I will donate more than $ 5,000 for the first 400 people who guess correctly the ′ ′ NUMBERS ′ ′ in this picture is real and good luck",2020-12-26 13:35:10.000000,,https://video-lga3-2.xx.fbcdn.net/hvideo-lla-odn/_nc_ohc-bSyj8KwLHB4AX_hWtLE/_nc_cat-111/v/r0DpEDlFpDk6LpZz9usTp/live-dash/dash-abr5/101466225222171.mpd?_nc_rl=AfByGagl1hLYd8giFLY&ms=m_CNP&oh=cc50d010ea5f52f995f681f9772f1b74&oe=5FE93AFA,https://scontent-lga3-2.xx.fbcdn.net/v/t15.13418-10/cp0/e15/q65/p173x172/131869828_219528366367191_2862739592152638059_n.jpg?_nc_cat=108&ccb=2&_nc_sid=ccf8b3&_nc_ohc=Hxvw6uzS-AoAX8oDBau&_nc_ht=scontent-lga3-2.xx&oh=1a81bf2d7dd1ff6334a351dae9bfd59c&oe=600C33DC,3507989432630470,0,0,0,https://facebook.com/story.php?story_fbid=3507989432630470&id=101457641889696,,100037150152665,[]
6,3613092792069587,"𝐊𝐞𝐥𝐥𝐲 𝐂𝐥𝐚𝐫𝐤𝐬𝐨𝐧 Live is live now.
14 mins ·

I'm Kelly Clarkson, I want to hand out $ 100,000 for the Christmas season, to the first 300 people who say ""CHRISTMAS"" I'll send $ 5,000. this is real and Good Luck!",,"𝐊𝐞𝐥𝐥𝐲 𝐂𝐥𝐚𝐫𝐤𝐬𝐨𝐧 Live is live now.
14 mins ·

I'm Kelly Clarkson, I want to hand out $ 100,000 for the Christmas season, to the first 300 people who say ""CHRISTMAS"" I'll send $ 5,000. this is real and Good Luck!",2020-12-26 13:32:26.000000,,https://video-lga3-2.xx.fbcdn.net/hvideo-prn-ldc/_nc_ohc-IVa2_yCku0kAX8y5PT5/_nc_cat-106/v/rAKFjUXRUxngVuRcx3O5m/live-dash/dash-abr5/100933358609637.mpd?_nc_rl=AfAsI56ZjJM8XiuCjVY&ms=m_CNP&oh=f3fdb0268b64e534f12f09ccdcd37de8&oe=5FE90DCA,https://scontent-lga3-2.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p173x172/131098240_179040530587157_123974025330819815_n.jpg?_nc_cat=102&ccb=2&_nc_sid=ccf8b3&_nc_ohc=DZAkZN5w9H0AX9vAjoT&_nc_ht=scontent-lga3-2.xx&oh=ba60653ad516ef979f65a20cab4e8510&oe=600D3590,179039560587254,0,0,0,https://facebook.com/story.php?story_fbid=179039560587254&id=102514758446976,,100058557040162,[]
7,3613090215403178,"No Amenity fee! An Amazing Location!
Receive a free $500.00 gift card when you sign a lease within 48 hours of your tour!

Be the first to live in a newly renovated oversized three-bedroom apartment. A large living area with ample space for a comfortable living room and dining room anchors the apartment. The kitchen, fully renovated, includes modern gloss paneled flat-front cabinetry, high-end stainless-steel appliances, and a sleek gray quartz countertop. Situated well above the neighboring buildings on the eleventh floor the apartment and terrace have unencumbered light and serene city views.

This building is currently undergoing a complete renovation including a complete upgrade of all…","No Amenity fee! An Amazing Location!
Receive a free $500.00 gift card when you sign a lease within 48 hours of your tour!

Be the first to live in a newly renovated oversized three-bedroom apartment. A large living area with ample space for a comfortable living room and dining room anchors the apartment. The kitchen, fully renovated, includes modern gloss paneled flat-front cabinetry, high-end stainless-steel appliances, and a sleek gray quartz countertop. Situated well above the neighboring buildings on the eleventh floor the apartment and terrace have unencumbered light and serene city views.

This building is currently undergoing a complete renovation including a complete upgrade of all…",,2020-12-26 13:30:57.000000,,,,,0,0,0,,,100003945783149,[]
8,3613075582071308,"Felicia

Sehat bersama is playing PUBG Mobile.
Yesterday at 7:50 AM ·

WOW 😲 Her She eats without chewing. She is very fast 😲",Felicia,"Sehat bersama is playing PUBG Mobile.
Yesterday at 7:50 AM ·

WOW 😲 Her She eats without chewing. She is very fast 😲",2020-12-26 13:22:15.000000,,https://video-lga3-2.xx.fbcdn.net/v/t42.1790-2/132614943_687289615488211_4265537265313034757_n.mp4?_nc_cat=108&ccb=2&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=eOfgGls8BvsAX_PqMJL&_nc_ht=video-lga3-2.xx&oh=d121037f2f86aac317b1e03950fd5363&oe=5FE7A92D,https://scontent-lga3-2.xx.fbcdn.net/v/t15.13418-10/cp0/e15/q65/p320x320/130881980_219497719691741_398162898962180294_n.jpg?_nc_cat=1&ccb=2&_nc_sid=ccf8b3&_nc_ohc=xRWWACHg78cAX8EDeAF&_nc_oc=AQl2__Snk_xEPMJ_TSne6ohqAYUuJtgkkr1QOkuU9UJIh1tK_o-2sFmXMvmsBrV-hEo&_nc_ht=scontent-lga3-2.xx&tp=3&oh=4542e9420af79caf1a7e8ef95319b4cf&oe=600E2A03,723128711923026,0,0,0,https://facebook.com/story.php?story_fbid=212926940433343&id=110238770702161,,100058995301150,[]
9,3613074392071427,"NO FEE! Save an additional $1,000.00 when you sign a lease within 48 hours of your tour!

3A has beautiful views with hardwood floors throughout, a gourmet kitchen with granite countertops, custom cabinetry, and stainless steel appliances. This 2-bedroom apartment is perfect for the renter who needs workspace, home gym or nursery in a separate room.

- Newly redesigned, spacious, upscale rental apartments – beautifully finished in your ideal neighborhood.
- Prime Upper East Side location, steps away from shopping, dining, parks, and top schools.
- Private driveway for convenient loading and unloading.

Luxury amenities such as valet, housekeeping and concierge services, are complemented by the attentive front staff, all committed to providing assistance for your unique needs.

Landscaped rooftop Sky Deck | Rooftop Grills |
24-Hour Doorman
Fitness Center
Children's playroom
Laundry Facilities
On-site resident manager
Concierge Services

NER Advertised- We are offering up to 3 Months Free on an 18 Month Lease

Reply to post or call/ text 347-410-3762 for same day viewing with Roger!","NO FEE! Save an additional $1,000.00 when you sign a lease within 48 hours of your tour!

3A has beautiful views with hardwood floors throughout, a gourmet kitchen with granite countertops, custom cabinetry, and stainless steel appliances. This 2-bedroom apartment is perfect for the renter who needs workspace, home gym or nursery in a separate room.

- Newly redesigned, spacious, upscale rental apartments – beautifully finished in your ideal neighborhood.
- Prime Upper East Side location, steps away from shopping, dining, parks, and top schools.
- Private driveway for convenient loading and unloading.

Luxury amenities such as valet, housekeeping and concierge services, are complemented by the attentive front staff, all committed to providing assistance for your unique needs.

Landscaped rooftop Sky Deck | Rooftop Grills |
24-Hour Doorman
Fitness Center
Children's playroom
Laundry Facilities
On-site resident manager
Concierge Services

NER Advertised- We are offering up to 3 Months Free on an 18 Month Lease

Reply to post or call/ text 347-410-3762 for same day viewing with Roger!",,2020-12-26 13:21:23.000000,,,,,0,0,0,,,100003945783149,[]
